Reference Title,Title,Source Type,AP/TS,Name,AKA,Definition,Code Example,Causes / Effects,Frequency
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Abnormal UTF-Use,,Test-suite overriding the default behavior of the unit testing framework,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Abnormal UTF-Use,,Overriding the default behavior of the testing framework by test-suite.,FALSO,FALSO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Absence of why,,where the code of the test just IS and does nothing to explain the use case,FALSO,FALSO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Accidental test framework,,"related to over exertion asserts, where there’s an ad-hoc bit of what should be a test library, this also includes home-made shallow implementations for deep problems like managing resources such as database or file. It also includes manually pumping framework primitives, rather than using the framework as a whole.",FALSO,FALSO,FALSO
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Activation asymmetry,,"a default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation",FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Activation Asymmetry,,"A default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation.",FALSO,FALSO,VERDADEIRO
https://ieeexplore.ieee.org/abstract/document/6606682,Hunting for smells in natural language tests,paper,Test Smell,Ambiguous Tests,,The test is underspecified and leaves room for interpretation,FALSO,VERDADEIRO,VERDADEIRO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Anal Probe,,A test that is written in this ‘smelly’ way also violates encapsulation but due to unnecessary hiding of parts in the tested production code that need testing.,FALSO,FALSO,VERDADEIRO
https://stackoverflow.com/questions/333682/unit-testing-anti-patterns-catalogue,Unit testing Anti-patterns catalogue,webpage,Anti-pattern,Anal Probe,,"A test which has to use insane, illegal or otherwise unhealthy ways to perform its task like: Reading private fields using Java's setAccessible(true) or extending a class to access protected fields/methods or having to put the test in a certain package to access package global fields/methods.",FALSO,FALSO,FALSO
https://www.yegor256.com/2018/12/11/unit-testing-anti-patterns.html,"Unit Testing Anti-Patterns, Full List",webpage,Anti-pattern,Anal Probe,,"A test that has to use unhealthy ways to perform its task, such as reading private fields using reflection",FALSO,FALSO,FALSO
