Category,Subcategory,Name,Sources,AKA-ALL,Code Example,Causes / Effects,Frequency
Test execution / behavior,Other test execution / behavior,Abnormal UTF-Use,2,,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Absence of why,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Accidental test framework,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Ambiguous Tests,1,,FALSE,TRUE,TRUE
Test semantic/logic,Other test logic related,Anal Probe,3,,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Anonymous test case,1,,FALSE,FALSE,FALSE
Code related,Code duplication,Army of Clones,2,,FALSE,TRUE,TRUE
Test semantic/logic,Other test logic related,ASSERT 1 = 2,1,,FALSE,TRUE,FALSE
Test semantic/logic,Testing many things,Assert the world,1,,FALSE,FALSE,FALSE
Code related,Code duplication,Assertion Chorus,1,Missing custom assertion method,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Assertion-free,1,,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Asynchronous Code,1,,FALSE,TRUE,FALSE
Code related,Violating coding best practices,Badly Structured Test Suite,1,,FALSE,TRUE,TRUE
Code related,In association with production code,Behavior Sensitivity,2,,FALSE,TRUE,TRUE
Issues in test steps,Issues in assertions,Blinkered assertions,1,,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Boilerplate hell,1,,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Brittle Assertion,1,,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Celery data,1,,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,Chain Gang,3,Order Dependent Tests,FALSE,FALSE,FALSE
Code related,In association with production code,Changing implementation to make tests possible,1,,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,Circumstantial evidence,1,,FALSE,FALSE,FALSE
Code related,In association with production code,Code Run Only by Tests,1,,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Commented Code in the Test,2,Under-the-carpet Failing Assertion,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Comments,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Comments Only Test,2,,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Conditional Logic,1,,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Conditional Logic Test,1,,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Conditional Tests,1,,FALSE,TRUE,TRUE
Test semantic/logic,Other test logic related,Conditionals in tests,1,,FALSE,FALSE,FALSE
Dependencies,External dependencies,Context Sensitivity,2,,FALSE,TRUE,TRUE
Design related,Not using test patterns,Contortionist testing,1,,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Control Logic,2,,FALSE,FALSE,TRUE
Dependencies,External dependencies,Counting on spies,1,,FALSE,FALSE,FALSE
Code related,Code duplication,Cut-and-Paste Code Reuse,1,,FALSE,TRUE,FALSE
Dependencies,External dependencies,Data Sensitivity,2,,FALSE,TRUE,TRUE
Code related,Code duplication,Data-Ja Vu,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Dead Field,3,,FALSE,TRUE,TRUE
Dependencies,Dependencies among tests,Dependent test,3,,FALSE,TRUE,FALSE
Code related,Violating coding best practices,Disabled Test,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Doppelgänger,2,,FALSE,FALSE,FALSE
Code related,Code duplication,Duplicate code,1,,FALSE,TRUE,FALSE
Code related,Code duplication,Duplicate test code,1,,FALSE,FALSE,FALSE
Code related,Code duplication,Duplicated Actions,1,,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Early Returning Test,2,,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Easy Tests,1,The Dodger,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Empty Method Category,2,,FALSE,FALSE,TRUE
Issues in test steps,Issues in setup,Empty Shared-Fixture,2,,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Empty Test-Method Category,1,,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Equality Sledgehammer Assertion,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Erratic test,2,,FALSE,TRUE,TRUE
Issues in test steps,Issues in exception handling,Exception Catch/Throw,1,,FALSE,FALSE,TRUE
Issues in test steps,Issues in exception handling,Exception Catching Throwing,1,,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Excessive Inline Setup,2,,FALSE,FALSE,TRUE
Code related,Mock and stub related,Excessive Mocking,2,,FALSE,TRUE,FALSE
Dependencies,External dependencies,External Data,1,Mystery Guest,FALSE,FALSE,FALSE
Dependencies,External dependencies,External Dependencies,2,,FALSE,TRUE,TRUE
Issues in test steps,Issues in setup,Factories that contain unnecessary data,1,,FALSE,FALSE,FALSE
Test semantic/logic,Testing many units,Feature Envy,1,,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Flaky test,2,,FALSE,TRUE,FALSE
Code related,In association with production code,For Testers Only,13,,FALSE,TRUE,TRUE
Issues in test steps,Issues in setup,Fragile Fixture,2,,FALSE,TRUE,TRUE
