URL,Title,Source Type,AP/TS,Name,AKA,Definition,Code Example,Causes / Effects,Frequency,Refactoring
https://github.com/testdouble/test-smells,A workbook repository of example test smells and what to do about them,webpage,Test Smell,7 Layer Testing,,"Numerous tests depend on the functionality of a single unit, typically incidentally. A single change in the code often breaks many tests in the build. Often exhibits itself when a team finds that even trivial changes to a system results in exorbitant effort to get back to a green build.",TRUE,TRUE,FALSE,TRUE
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Abnormal UTF-Use,,Test-suite overriding the default behavior of the unit testing framework,FALSE,FALSE,TRUE,FALSE
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Abnormal UTF-Use,,Overriding the default behavior of the testing framework by test-suite.,FALSE,FALSE,FALSE,FALSE
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Absence of why,,where the code of the test just IS and does nothing to explain the use case,FALSE,FALSE,FALSE,FALSE
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Accidental test framework,,"related to over exertion asserts, where there’s an ad-hoc bit of what should be a test library, this also includes home-made shallow implementations for deep problems like managing resources such as database or file. It also includes manually pumping framework primitives, rather than using the framework as a whole.",FALSE,FALSE,FALSE,FALSE
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Activation asymmetry,,"a default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation",FALSE,FALSE,FALSE,FALSE
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.144.6997&rep=rep1&type=pdf,Pattern-based Smell Detection in TTCN-3 Test Suites,thesis,Test Smell,Activation Asymmetry,,"A default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation.",TRUE,TRUE,FALSE,TRUE
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Activation Asymmetry,,"A default activation has no matching subsequent deactivation in the same statement block, or a deactivation has no matching previous activation.",FALSE,FALSE,TRUE,TRUE
https://ieeexplore.ieee.org/abstract/document/6606682,Hunting for smells in natural language tests,paper,Test Smell,Ambiguous Tests,,The test is underspecified and leaves room for interpretation,FALSE,TRUE,TRUE,FALSE
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Anal Probe,,A test that is written in this ‘smelly’ way also violates encapsulation but due to unnecessary hiding of parts in the tested production code that need testing.,FALSE,FALSE,TRUE,FALSE
https://stackoverflow.com/questions/333682/unit-testing-anti-patterns-catalogue,Unit testing Anti-patterns catalogue,webpage,Anti-pattern,Anal Probe,,"A test which has to use insane, illegal or otherwise unhealthy ways to perform its task like: Reading private fields using Java's setAccessible(true) or extending a class to access protected fields/methods or having to put the test in a certain package to access package global fields/methods.",FALSE,FALSE,FALSE,FALSE
https://www.yegor256.com/2018/12/11/unit-testing-anti-patterns.html,"Unit Testing Anti-Patterns, Full List",webpage,Anti-pattern,Anal Probe,,"A test that has to use unhealthy ways to perform its task, such as reading private fields using reflection",FALSE,FALSE,FALSE,FALSE
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.144.9594,Assessing test quality ‐ TestLint,thesis,Test Smell,Anonymous Test,,"An anonymous test is a test whose name is meaningless as it doesn't express the purpose of the test in the current context. However tests can be regarded as documentation, and the name is an important part of that as it should abstract what the test is all about.",TRUE,TRUE,FALSE,FALSE
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Anonymous Test,"Unclear Naming, Naming Convention Violation",The test name is meaningless and does not reveal the intent of it.,FALSE,FALSE,TRUE,FALSE
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Anonymous Test,,Test-methods having a meaningless name,FALSE,FALSE,TRUE,TRUE
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Anonymous Test,,A test method with a meaningless and unclear method name,FALSE,FALSE,FALSE,FALSE
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Anonymous test case,,where we cannot tell from the test name what is being tested,FALSE,FALSE,FALSE,FALSE
https://orbilu.uni.lu/handle/10993/48254,On the Maintenance of System User Interactive Tests,thesis,Test Smell,Army of Clones,,"Different tests perform and implement similar actions, leading to duplicated pieces of test code",FALSE,TRUE,TRUE,TRUE
https://arxiv.org/abs/2111.02317,Smells in System User Interactive Tests,technical paper/manuscript,Test Smell,Army of Clones,,"Different tests perform and implement similar actions, leading to duplicated pieces of test code",FALSE,TRUE,TRUE,TRUE
https://blogs.sap.com/2013/02/14/abap-assertion-anti-patterns/,Abap assertion anti-patterns,webpage,Anti-pattern,ASSERT 1 = 2,,A case of developer simply yanking on the emergency brake whenever the code has dropped into a state that they didn’t know how to handle.,FALSE,TRUE,FALSE,FALSE
