Category,Subcategory,Name,Sources,AKA,Code Example,Causes / Effects,Frequency,Refactoring
Issues in test steps,Issues in assertions,7 Layer Testing,1,,TRUE,TRUE,FALSE,TRUE
Test execution / behavior,Other test execution / behavior,Abnormal UTF-Use,3,,FALSE,TRUE,TRUE,FALSE
Code related,Complex / Hard to understand,Absence of why,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Accidental test framework,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in teardown,Activation asymmetry,3,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Ambiguous Tests,1,,FALSE,TRUE,TRUE,FALSE
Test semantic/logic,Other test logic related,Anal Probe,3,,FALSE,FALSE,TRUE,FALSE
Code related,Violating coding best practices,Anonymous Test,8,"Unclear Naming, Naming Convention Violation",TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Army of Clones,2,,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,ASSERT 1 = 2,1,,FALSE,TRUE,FALSE,FALSE
Test semantic/logic,Testing many things,Assert the world,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Asserting Pre-condition and Invariants,1,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Assertion Chorus,1,missing custom assertion method,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Assertion diversion,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Assertion Mismatch Scenario,1,,TRUE,TRUE,TRUE,FALSE
Test semantic/logic,Testing many things,Assertion Roulette,69,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Assertion-free,1,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,Assertionless Test,6,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Assertions should be Merciless,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Asynchronous Code,1,,FALSE,TRUE,FALSE,TRUE
Test execution / behavior,Performance,Asynchronous Test,1,,TRUE,TRUE,FALSE,TRUE
Design related,Not using test patterns,Autogeneration,1,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Bad comment rate,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Bad documentation comment,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Bad naming,6,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Badly Structured Test Suite,1,,FALSE,TRUE,TRUE,FALSE
Issues in test steps,Issues in setup,Badly Used Fixture,1,,TRUE,TRUE,FALSE,FALSE
Code related,In association with production code,Behavior Sensitivity,2,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Blethery prefixes,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Blinkered assertions,1,,FALSE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Boilerplate hell,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Branch To Assumption Anti-Pattern,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Brittle Assertion,2,,FALSE,TRUE,FALSE,FALSE
Issues in test steps,Issues in assertions,Brittle Test,2,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Brittle UI Tests,1,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Broad Assertion,1,,TRUE,TRUE,FALSE,FALSE
Issues in test steps,Issues in assertions,Bumbling assertions,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Bury The Lede,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Calculating expected results on the fly,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in exception handling,Catching Unexpected Exceptions,2,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Celery data,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Chafing,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,Chain Gang,3,,FALSE,FALSE,FALSE,FALSE
Code related,In association with production code,Changing implementation to make tests possible,1,,FALSE,TRUE,FALSE,TRUE
Test execution / behavior,Other test execution / behavior,Chatty logging,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Circumstantial evidence,1,,FALSE,FALSE,FALSE,FALSE
Code related,In association with production code,code pollution,1,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,Code Run Only by Tests,1,,FALSE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Commented Code in the Test,2,Under-the-carpet Failing Assertion,FALSE,FALSE,TRUE,TRUE
Issues in test steps,Issues in assertions,Commented Test,1,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Comments,1,,FALSE,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Comments Only Test,2,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,Complex Assertions,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Complex conditional,3,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in teardown,Complex Teardown,1,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Complicated Logic in Tests,1,,TRUE,TRUE,FALSE,FALSE
Issues in test steps,Issues in setup,Complicated set up scenarios within the tests themselves,1,,TRUE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Conditional assertions,4,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Conditional Test Logic,42,"Indented Test Code, Guarded Test, Indented test code, Indented Test Code, Indented Test, Guarded Test, Control Logic",TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Conspiracy of silence,1,,TRUE,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Constant actual parameter value,3,,TRUE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,Constrained test order,1,,TRUE,TRUE,FALSE,TRUE
Design related,Not using test patterns,Constructor Initialization,20,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Contaminated Test Subject,1,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,Context Logic in Production Code,1,,TRUE,TRUE,FALSE,FALSE
Dependencies,External dependencies,Context Sensitivity,2,,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Context-Dependent Rotten Green Assertion Test,2,,TRUE,TRUE,TRUE,TRUE
Design related,Not using test patterns,Contortionist testing,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Control Logic,2,,FALSE,FALSE,TRUE,FALSE
Code related,Code duplication,Copy-paste,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Counting on spies,1,,FALSE,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,Coupled tests,1,,FALSE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,coupling between test methods,2,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Curdled Test Fixtures,1,,TRUE,FALSE,FALSE,FALSE
Code related,Code duplication,Cut-and-Paste Code Reuse,1,,FALSE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Data Sensitivity,2,,FALSE,TRUE,TRUE,TRUE
Code related,Code duplication,Data-Ja Vu,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Dead Field,4,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Default Test,13,,TRUE,TRUE,TRUE,TRUE
Dependencies,Dependencies among tests,Dependent test,5,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Directly executing JavaScript,1,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Disabled Test,1,,TRUE,TRUE,TRUE,TRUE
Design related,Not using test patterns,Disorder,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Doppelgänger,2,,FALSE,FALSE,FALSE,FALSE
Code related,Code duplication,Duplicate alt branches,3,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Duplicate Assert,24,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Duplicate component definition,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Duplicate In-Line Templates,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Duplicate Local Variable/Constant/Timer,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Duplicate Statements,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Duplicate Template Fields,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Duplicate test runs,1,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Duplicated Actions,1,,FALSE,FALSE,FALSE,TRUE
Code related,Code duplication,Duplicated Code,7,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Duplicated Code in Conditional,3,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,Eager Test,63,"Many Assertions, Multiple Assertions, The Free Ride, The Test It All, Split Personality",TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Early Returning Test,2,,FALSE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,Easy Tests,1,The Dodger,FALSE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,Embedding implementation detail in your features/scenarios,1,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Empty Method Category,2,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in setup,Empty Shared-Fixture,3,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Empty Test,24,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Empty Test-Method Category,2,,FALSE,FALSE,TRUE,FALSE
Code related,In association with production code,Equality Pollution,2,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Equality Sledgehammer Assertion,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Erratic test,4,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Everything is a property,1,,TRUE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Evolve Or,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in exception handling,Exception Handling,24,Exception Catching Throwing,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Excessive Inline Setup,2,,FALSE,FALSE,TRUE,TRUE
Code related,Mock and stub related,Excessive Mocking,2,,FALSE,TRUE,FALSE,FALSE
Issues in test steps,Issues in setup,Excessive Setup,7,"Large Setup Methods, Mother Hen",TRUE,FALSE,TRUE,FALSE
Issues in test steps,Issues in exception handling,Expected Exceptions and Verification,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in exception handling,Expecting Exceptions Anywhere,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,External Data,1,,FALSE,FALSE,FALSE,TRUE
Dependencies,External dependencies,External Dependencies,2,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,External shared-state corruption,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Factories depending on database records,1,,TRUE,TRUE,FALSE,TRUE
Test execution / behavior,Performance,Factories pulling too many dependencies,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Factories that contain unnecessary data,1,,FALSE,FALSE,FALSE,TRUE
